product_id,product_name,current_stock,safety_stock,updated_at,delivery_weekdays,delivery_quantity,delivery_by_weekday,delivery_by_weekday_parity
FOOD_001,ワッフル,0,10,2026-06-02T20:35:27.340751,"0,2",40,,
FOOD_002,パフェ,0,10,2026-06-02T21:20:31.643714,,0,,
FOOD_003,抹茶ケーキ,0,10,2026-06-02T20:06:33.168677,,0,,
FOOD_004,チーズケーキ,0,10,2026-06-02T20:06:33.168677,,0,,
FOOD_005,バナナパウンドケーキ,0,10,2026-06-02T21:01:54.886413,"0,2,3,4",0,,
FOOD_006,レモンケーキ,0,10,2026-06-02T20:06:33.168677,,0,,
FOOD_007,ミートパイ,0,10,2026-06-02T21:20:54.489741,2,0,,
FOOD_008,レモンパイ,0,10,2026-06-02T20:06:33.168677,,0,,
